Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,17,,,87450,Cari Kaufman,4,Statistics,133,001,A,Letter Grade,A+,Computing Data
1,4,,,87462,Benoit Dherin,4,Statistics,133,002,A,Letter Grade,A+,Computing Data
2,24,,,87450,Cari Kaufman,4,Statistics,133,001,A,Letter Grade,A,Computing Data
2,20,,,87462,Benoit Dherin,4,Statistics,133,002,A,Letter Grade,A,Computing Data
3,11,,,87450,Cari Kaufman,3.7,Statistics,133,001,A,Letter Grade,A-,Computing Data
3,10,,,87462,Benoit Dherin,3.7,Statistics,133,002,A,Letter Grade,A-,Computing Data
4,5,,,87450,Cari Kaufman,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
5,5,,,87450,Cari Kaufman,3,Statistics,133,001,B,Letter Grade,B,Computing Data
5,18,,,87462,Benoit Dherin,3,Statistics,133,002,B,Letter Grade,B,Computing Data
6,2,,,87450,Cari Kaufman,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
6,4,,,87462,Benoit Dherin,2.7,Statistics,133,002,B,Letter Grade,B-,Computing Data
7,2,,,87450,Cari Kaufman,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
8,2,,,87450,Cari Kaufman,2,Statistics,133,001,C,Letter Grade,C,Computing Data
8,1,,,87462,Benoit Dherin,2,Statistics,133,002,C,Letter Grade,C,Computing Data
9,5,,,87462,Benoit Dherin,1.7,Statistics,133,002,C,Letter Grade,C-,Computing Data
13,1,,,87450,Cari Kaufman,0,Statistics,133,001,F,Letter Grade,F,Computing Data
13,3,,,87462,Benoit Dherin,0,Statistics,133,002,F,Letter Grade,F,Computing Data
22,1,,,87450,Cari Kaufman,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
22,6,,,87462,Benoit Dherin,,Statistics,133,002,Credit,Non-Letter Grade,Pass,Computing Data
25,1,,,87462,Benoit Dherin,,Statistics,133,002,Credit,Non-Letter Grade,Satisfactory,Computing Data
27,2,,,87450,Cari Kaufman,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
27,2,,,87462,Benoit Dherin,,Statistics,133,002,No Credit,Non-Letter Grade,Not Pass,Computing Data
30,1,,,87450,Cari Kaufman,,Statistics,133,001,Administrative Code,Administrative Code,Incomplete,Computing Data
