Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
13,Deborah Nolan,4,A+ 
12,Deborah Nolan,4,A 
14,Deborah Nolan,3.7,A- 
21,Deborah Nolan,3.3,B+ 
4,Deborah Nolan,3,B 
6,Deborah Nolan,2.7,B- 
1,Deborah Nolan,2.3,C+ 
1,Deborah Nolan,1.7,C- 
1,Deborah Nolan,1,D 
1,Deborah Nolan,0,F 
5,Fletcher Ibser,4,A+ 
12,Fletcher Ibser,4,A 
13,Fletcher Ibser,3.7,A- 
9,Fletcher Ibser,3.3,B+ 
10,Fletcher Ibser,3,B 
8,Fletcher Ibser,2.7,B- 
6,Fletcher Ibser,2.3,C+ 
4,Fletcher Ibser,2,C 
1,Fletcher Ibser,1.7,C- 
1,Fletcher Ibser,1,D 
1,Fletcher Ibser,0,F 
